time,ip_address,packets_input,packets_output,packets_dropped
2023-06-04 02:54:04,67.176.52.206,1140336,585652,38398
2023-06-04 02:56:05,67.176.52.206,1140938,586094,38486
2023-06-04 02:58:04,67.176.52.206,1141373,586480,38582
2023-06-04 03:00:05,67.176.52.206,1141991,586860,38672
2023-06-04 03:02:04,67.176.52.206,1142557,587285,38756
2023-06-04 03:04:05,67.176.52.206,1143134,587627,38848
2023-06-04 03:06:05,67.176.52.206,1143883,588035,38948
2023-06-04 03:08:05,67.176.52.206,1144509,588416,39033
2023-06-04 03:10:05,67.176.52.206,1144978,588715,39133
2023-06-04 03:12:04,67.176.52.206,1145560,589066,39231
2023-06-04 03:14:05,67.176.52.206,1146461,589473,39340
2023-06-04 03:16:04,67.176.52.206,1146948,589804,39430
2023-06-04 03:18:05,67.176.52.206,1147629,590228,39521
2023-06-04 03:20:04,67.176.52.206,1148240,590594,39616
2023-06-04 03:22:05,67.176.52.206,1149218,591059,39717
2023-06-04 03:24:05,67.176.52.206,1149657,591399,39811
2023-06-04 03:26:05,67.176.52.206,1150384,591788,39899
2023-06-04 03:28:05,67.176.52.206,1150877,592126,39996
2023-06-04 03:30:04,67.176.52.206,1151397,592471,40091
2023-06-04 03:32:05,67.176.52.206,1152000,592855,40188
2023-06-04 03:34:04,67.176.52.206,1153032,593322,40281
2023-06-04 03:36:05,67.176.52.206,1153608,593679,40377
2023-06-04 03:38:04,67.176.52.206,1154403,594197,40476
2023-06-04 03:40:05,67.176.52.206,1154961,594589,40565
2023-06-04 03:42:05,67.176.52.206,1157566,596128,40651
2023-06-04 03:44:05,67.176.52.206,1158762,596851,40738
2023-06-04 03:46:05,67.176.52.206,1159446,597225,40835
2023-06-04 03:48:04,67.176.52.206,1159989,597670,40931
2023-06-04 03:50:05,67.176.52.206,1160561,598015,41030
2023-06-04 03:52:04,67.176.52.206,1161074,598403,41121
2023-06-04 03:54:05,67.176.52.206,1161793,598780,41215
2023-06-04 03:56:04,67.176.52.206,1163215,599855,41294
2023-06-04 03:58:05,67.176.52.206,1163812,600223,41394
2023-06-04 04:00:05,67.176.52.206,1164418,600578,41481
2023-06-04 04:02:05,67.176.52.206,1165089,600953,41571
2023-06-04 04:04:05,67.176.52.206,1165697,601296,41666
2023-06-04 04:06:04,67.176.52.206,1166229,601606,41755
2023-06-04 04:08:05,67.176.52.206,1166882,601974,41843
2023-06-04 04:10:04,67.176.52.206,1167372,602252,41937
2023-06-04 04:12:05,67.176.52.206,1167839,602633,42032
2023-06-04 04:14:04,67.176.52.206,1168570,602990,42130
2023-06-04 04:16:05,67.176.52.206,1169135,603305,42219
2023-06-04 04:18:05,67.176.52.206,1169752,603788,42320
2023-06-04 04:20:05,67.176.52.206,1170206,604145,42413
2023-06-04 04:22:05,67.176.52.206,1171059,604557,42506
2023-06-04 04:24:04,67.176.52.206,1171547,604892,42594
2023-06-04 04:26:05,67.176.52.206,1172174,605219,42677
2023-06-04 04:28:04,67.176.52.206,1172841,605666,42772
2023-06-04 04:30:05,67.176.52.206,1173431,606060,42868
2023-06-04 04:32:04,67.176.52.206,1173907,606396,42959
2023-06-04 04:34:05,67.176.52.206,1174640,606794,43048
2023-06-04 04:36:04,67.176.52.206,1175021,607072,43146
2023-06-04 04:38:05,67.176.52.206,1175702,607440,43237
2023-06-04 04:40:05,67.176.52.206,1176179,607737,43329
2023-06-04 04:42:05,67.176.52.206,1176787,608115,43411
2023-06-04 04:44:05,67.176.52.206,1177371,608473,43511
2023-06-04 04:46:04,67.176.52.206,1177875,608795,43609
2023-06-04 04:48:05,67.176.52.206,1178411,609235,43701
2023-06-04 04:50:04,67.176.52.206,1178840,609544,43800
2023-06-04 04:52:05,67.176.52.206,1179340,609926,43897
2023-06-04 04:54:04,67.176.52.206,1179971,610260,43981
2023-06-04 04:56:05,67.176.52.206,1180456,610585,44059
2023-06-04 04:58:05,67.176.52.206,1181051,610963,44161
2023-06-04 05:00:05,67.176.52.206,1181722,611354,44243
2023-06-04 05:02:05,67.176.52.206,1182303,611694,44332
2023-06-04 05:04:04,67.176.52.206,1182838,612037,44429
2023-06-04 05:06:05,67.176.52.206,1183388,612355,44516
2023-06-04 05:08:04,67.176.52.206,1184255,612751,44605
2023-06-04 05:10:05,67.176.52.206,1184872,613054,44709
2023-06-04 05:12:04,67.176.52.206,1185332,613398,44809
2023-06-04 05:14:05,67.176.52.206,1185891,613748,44912
2023-06-04 05:16:05,67.176.52.206,1186215,614000,44997
2023-06-04 05:18:04,67.176.52.206,1186794,614453,45096
2023-06-04 05:20:05,67.176.52.206,1187214,614754,45192
2023-06-04 05:22:04,67.176.52.206,1187936,615172,45287
2023-06-04 05:24:05,67.176.52.206,1188582,615533,45375
2023-06-04 05:26:04,67.176.52.206,1189249,615894,45463
2023-06-04 05:28:05,67.176.52.206,1189937,616295,45556
2023-06-04 05:30:05,67.176.52.206,1190501,616642,45648
2023-06-04 05:32:05,67.176.52.206,1191143,616993,45735
2023-06-04 05:34:05,67.176.52.206,1191761,617379,45827
2023-06-04 05:36:04,67.176.52.206,1192318,617680,45919
2023-06-04 05:38:05,67.176.52.206,1193117,618130,46011
2023-06-04 05:40:04,67.176.52.206,1193684,618475,46099
2023-06-04 05:42:05,67.176.52.206,1194098,618839,46190
2023-06-04 05:44:04,67.176.52.206,1195127,619299,46281
2023-06-04 05:46:05,67.176.52.206,1195671,619626,46378
2023-06-04 05:48:05,67.176.52.206,1196298,620061,46467
2023-06-04 05:50:05,67.176.52.206,1196837,620380,46564
2023-06-04 05:52:05,67.176.52.206,1197561,620767,46655
2023-06-04 05:54:04,67.176.52.206,1198364,621148,46744
2023-06-04 05:56:05,67.176.52.206,1209604,626179,46832
